CodMun,area_territorial
1508407,"3779,348"
1600055,"7713,046"
1600105,"8454,847"
1600154,"9622,29"
1600204,"14117,297"
1600212,"2179,114"
1600238,"4973,855"
1600253,"1622,867"
1600279,"30782,998"
1600303,"6563,849"
1600402,"13294,778"
1600501,"23034,392"
1600535,"4428,013"
1600550,"4948,508"
1600600,"1541,224"
1600709,"6684,705"
1600808,"2508,979"
1700251,"1906,295"
1700301,"236,792"
1700350,"1580,999"
1700400,"4007,152"
1700707,"1207,201"
1701002,"1581,058"
1701051,"447,549"
1701101,"1159,034"
1701309,"1168,213"
1701903,"2774,505"
1702000,"5155,223"
1702109,"4004,646"
1702158,"834,834"
1702208,"2633,278"
1702307,"1558,138"
1702406,"5803,085"
1702554,"388,81"
1702703,"696,194"
1702901,"153,539"
1703008,"1790,297"
1703057,"1540,541"
1703073,"1105,84"
1703107,"697,759"
1703206,"924,045"
1703305,"1326,947"
1703602,"645,908"
1703701,"1722,59"
1703800,"252,73"
1703826,"351,535"
1703842,"3234,445"
1703867,"1126,291"
1703883,"339,366"
1703891,"190,352"
1703909,"1680,014"
1704105,"1953,134"
1704600,"658,564"
1705102,"1640,833"
1705508,"842,488"
1705557,"208,791"
1705607,"2530,647"
1706001,"1584,196"
1706100,"1850,75"
1706258,"983,766"
1706506,"1641,77"
1707009,"3318,094"
1707108,"2358,282"
1707207,"3747,645"
1707306,"3420,657"
1707405,"506,175"
1707553,"380,373"
1707652,"1935,709"
1707702,"1991,258"
1708205,"13431,861"
1708254,"624,463"
1708304,"1797,229"
1709005,"6414,846"
1709302,"2275,562"
1709500,"1844,164"
1709807,"821,152"
1710508,"3047,204"
1710706,"730,163"
1710904,"1246,349"
1711100,"969,794"
1711506,"2167,201"
1711803,"483,452"
1711902,"10563,181"
1711951,"917,632"
1712009,"318,292"
1712157,"468,006"
1712405,"5716,641"
1712454,"281,543"
1712504,"2089,575"
1712702,"9589,273"
1712801,"736,303"
1713205,"2663,745"
1713304,"1033,301"
1713601,"3601,205"
1713700,"1072,92"
1713809,"743,407"
1713957,"1194,368"
1714203,"3241,672"
1714302,"395,997"
1714880,"1567,834"
1715002,"514,791"
1715101,"2678,262"
1715150,"200,412"
1715259,"1213,893"
1715507,"209,292"
1715705,"2638,465"
1715754,"1708,981"
1716109,"1292,267"
1716208,"11217,373"
1716307,"1375,551"
1716505,"2019,556"
1716604,"5303,612"
1716653,"1206,118"
1716703,"992,22"
1717008,"1560,551"
1717206,"1363,412"
1717503,"10003,549"
1717800,"1718,791"
1717909,"6542,838"
1718006,"506,717"
1718204,"4434,68"
1718303,"300,999"
1718402,"771,716"
1718451,"401,174"
1718501,"2215,669"
1718550,"512,156"
1718659,"845,823"
1718709,"847,255"
1718758,"6346,279"
1718808,"222,435"
1718840,"3535,135"
1718865,"1671,239"
1718881,"1412,318"
1718899,"3281,219"
1718907,"1804,687"
1719004,"539,511"
1720002,"274,104"
1720101,"1099,58"
1720150,"1913,11"
1720200,"406,957"
1720259,"1424,753"
1720309,"289,597"
1720499,"2520,465"
1720655,"1258,771"
1720804,"307,095"
1720853,"1018,222"
1720903,"2341,919"
1720937,"1105,303"
1720978,"2155,503"
1721000,"2227,329"
1721109,"2609,775"
1721208,"1083,6"
1721257,"706,883"
1721307,"889,126"
1722081,"1365,431"
1722107,"1190,489"
2100055,"5805,159"
2100105,"371,338"
2100154,"442,292"
2100204,"1167,964"
2100303,"1942,121"
2100402,"524,374"
2100436,"392,75"
2100477,"1875,901"
2100501,"11127,384"
2100550,"502,402"
2100600,"7439,615"
2100709,"942,568"
2100808,"608,903"
2100832,"341,12"
2100873,"805,194"
2100907,"1789,73"
2100956,"2976,039"
2101004,"1100,275"
2101103,"160,462"
2101202,"1656,736"
2101251,"542,962"
2101301,"850,491"
2101350,"413,651"
2101400,"13141,162"
2101509,"2209,414"
2101608,"5187,673"
2101707,"3046,051"
2101731,"569,606"
2101772,"147,954"
2101806,"1784,64"
2101905,"790,222"
2101939,"247,186"
2101970,"400,35"
2102002,"6588,38"
2102036,"2676,98"
2102077,"445,171"
2102101,"1073,258"
2102150,"986,036"
2102200,"1475,779"
2102309,"1582,552"
2102325,"2544,857"
2102358,"820,968"
2102374,"865,04"
2102408,"545,244"
2102507,"662,066"
2102556,"613,529"
2102606,"1634,861"
2102705,"773,01"
2102754,"590,267"
2102804,"6267,675"
2102903,"1260,977"
2103000,"5201,927"
2103109,"285,211"
2103125,"319,538"
2103158,"1167,848"
2103174,"8401,003"
2103208,"3247,385"
2103257,"1462,809"
2103307,"4361,606"
2103406,"977,079"
