"2702108","NE","AL","COLONIA LEOPOLDINA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702207","NE","AL","COQUEIRO SECO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702306","NE","AL","CORURIPE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702355","NE","AL","CRAIBAS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2702405","NE","AL","DELMIRO GOUVEIA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702504","NE","AL","DOIS RIACHOS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2702553","NE","AL","ESTRELA DE ALAGOAS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702603","NE","AL","FEIRA GRANDE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2702702","NE","AL","FELIZ DESERTO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2702801","NE","AL","FLEXEIRAS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2702900","NE","AL","GIRAU DO PONCIANO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703007","NE","AL","IBATEGUARA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703106","NE","AL","IGACI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703205","NE","AL","IGREJA NOVA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2703304","NE","AL","INHAPI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703403","NE","AL","JACARE DOS HOMENS","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"2703502","NE","AL","JACUIPE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2703601","NE","AL","JAPARATINGA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703700","NE","AL","JARAMATAIA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2703759","NE","AL","JEQUIA DA PRAIA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2703809","NE","AL","JOAQUIM GOMES","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2703908","NE","AL","JUNDIA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704005","NE","AL","JUNQUEIRO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704104","NE","AL","LAGOA DA CANOA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704203","NE","AL","LIMOEIRO DE ANADIA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704302","NE","AL","MACEIO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704401","NE","AL","MAJOR ISIDORO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704906","NE","AL","MAR VERMELHO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704500","NE","AL","MARAGOGI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2704609","NE","AL","MARAVILHA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2704708","NE","AL","MARECHAL DEODORO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2704807","NE","AL","MARIBONDO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2705002","NE","AL","MATA GRANDE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705101","NE","AL","MATRIZ DE CAMARAGIBE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705200","NE","AL","MESSIAS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2705309","NE","AL","MINADOR DO NEGRAO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705408","NE","AL","MONTEIROPOLIS","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"2705507","NE","AL","MURICI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705606","NE","AL","NOVO LINO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705705","NE","AL","OLHO D'AGUA DAS FLORES","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2705804","NE","AL","OLHO D'AGUA DO CASADO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2705903","NE","AL","OLHO D'AGUA GRANDE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2706000","NE","AL","OLIVENCA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706109","NE","AL","OURO BRANCO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2706208","NE","AL","PALESTINA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"2706307","NE","AL","PALMEIRA DOS INDIOS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706406","NE","AL","PAO DE ACUCAR","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2706422","NE","AL","PARICONHA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706448","NE","AL","PARIPUEIRA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2706505","NE","AL","PASSO DE CAMARAGIBE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706604","NE","AL","PAULO JACINTO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2706703","NE","AL","PENEDO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706802","NE","AL","PIACABUCU","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2706901","NE","AL","PILAR","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2707008","NE","AL","PINDOBA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707107","NE","AL","PIRANHAS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2707206","NE","AL","POCO DAS TRINCHEIRAS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707305","NE","AL","PORTO CALVO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707404","NE","AL","PORTO DE PEDRAS","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"2707503","NE","AL","PORTO REAL DO COLEGIO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707602","NE","AL","QUEBRANGULO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707701","NE","AL","RIO LARGO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2707800","NE","AL","ROTEIRO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2707909","NE","AL","SANTA LUZIA DO NORTE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2708006","NE","AL","SANTANA DO IPANEMA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2708105","NE","AL","SANTANA DO MUNDAU","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708204","NE","AL","SAO BRAS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708303","NE","AL","SAO JOSE DA LAJE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2708402","NE","AL","SAO JOSE DA TAPERA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708501","NE","AL","SAO LUIS DO QUITUNDE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708600","NE","AL","SAO MIGUEL DOS CAMPOS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2708709","NE","AL","SAO MIGUEL DOS MILAGRES","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708808","NE","AL","SAO SEBASTIAO","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2708907","NE","AL","SATUBA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2708956","NE","AL","SENADOR RUI PALMEIRA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2709004","NE","AL","TANQUE D'ARCA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2709103","NE","AL","TAQUARANA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2709152","NE","AL","TEOTONIO VILELA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2709202","NE","AL","TRAIPU","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"2709301","NE","AL","UNIAO DOS PALMARES","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"2709400","NE","AL","VICOSA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1300029","N","AM","ALVARAES","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300060","N","AM","AMATURA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300086","N","AM","ANAMA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300102","N","AM","ANORI","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300144","N","AM","APUI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1300201","N","AM","ATALAIA DO NORTE","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1300300","N","AM","AUTAZES","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1300409","N","AM","BARCELOS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1300508","N","AM","BARREIRINHA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1300607","N","AM","BENJAMIN CONSTANT","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1300631","N","AM","BERURI","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300680","N","AM","BOA VISTA DO RAMOS","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1300706","N","AM","BOCA DO ACRE","Sim","2016","Sim","Lei municipal","062/2016","6/23/2016"," ",""
"1300805","N","AM","BORBA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1300839","N","AM","CAAPIRANGA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1300904","N","AM","CANUTAMA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1301001","N","AM","CARAUARI","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301100","N","AM","CAREIRO","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1301159","N","AM","CAREIRO DA VARZEA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301209","N","AM","COARI","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1301308","N","AM","CODAJAS","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301407","N","AM","EIRUNEPE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301506","N","AM","ENVIRA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1301605","N","AM","FONTE BOA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1301654","N","AM","GUAJARA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1301704","N","AM","HUMAITA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1301803","N","AM","IPIXUNA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301852","N","AM","IRANDUBA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301902","N","AM","ITACOATIARA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1301951","N","AM","ITAMARATI","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1302009","N","AM","ITAPIRANGA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1302108","N","AM","JAPURA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1302207","N","AM","JURUA","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1302306","N","AM","JUTAI","Nao foi enviado oficio","","Nao foi enviado oficio","Nao foi enviado oficio","","Nao foi enviado oficio"," ",""
"1302405","N","AM","LABREA","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1302504","N","AM","MANACAPURU","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1302553","N","AM","MANAQUIRI","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1302603","N","AM","MANAUS","Sim","2015","Sim","Lei Complementar","2.074/2015","12/28/2015"," ",""
"1302702","N","AM","MANICORE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1302801","N","AM","MARAA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1302900","N","AM","MAUES","Nao","","Nao possui plano","Nao possui plano","","Nao possui plano"," ",""
"1303007","N","AM","NHAMUNDA","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
"1303106","N","AM","NOVA OLINDA DO NORTE","Nao respondeu","","Nao respondeu","Nao respondeu","","Nao respondeu"," ",""
